flow_key,status,total_bytes,received_bytes,completion_percent,first_timestamp_ms,last_timestamp_ms,duration_ms,server_isn_set,buffered_packets,tcp_seqs_count,request_method,request_uri,request_host,request_user_agent,client_addr,client_port,server_addr,server_port,request_timestamp_ms
completed_0,archived,21053875,21053875,100.00,1763160600645,1763160605659,5014,true,0,0,"GET","/images/","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",36084,"10.0.2.5",8080,1763160600645
completed_1,archived,22151654,22151654,100.00,1763160600772,1763160605698,4926,true,0,0,"GET","/images/rotatd_13.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",36110,"10.0.2.5",8080,1763160600772
completed_2,archived,22079594,22079594,100.00,1763160600772,1763160605825,5053,true,0,0,"GET","/images/rotatd_12.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",36102,"10.0.2.5",8080,1763160600772
completed_3,archived,22237768,22237768,100.00,1763160600773,1763160608390,7617,true,0,0,"GET","/images/rotatd_14.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",36120,"10.0.2.5",8080,1763160600773
completed_4,archived,21890236,21890236,100.00,1763160600734,1763160608397,7663,true,0,0,"GET","/images/rotatd_10.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",36096,"10.0.2.5",8080,1763160600734
completed_5,archived,21970814,21970814,100.00,1763160600772,1763160608408,7636,true,0,0,"GET","/images/rotatd_11.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",36100,"10.0.2.5",8080,1763160600772
completed_6,archived,555,555,100.00,1763160608423,1763160608426,3,true,0,0,"GET","/favicon.ico","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",36084,"10.0.2.5",8080,1763160608423
completed_7,archived,22528372,22528372,100.00,1763160608445,1763160612338,3893,true,0,0,"GET","/images/rotatd_18.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",36084,"10.0.2.5",8080,1763160608445
completed_8,archived,23201737,23201737,100.00,1763160608445,1763160612343,3898,true,0,0,"GET","/images/rotatd_57.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",36110,"10.0.2.5",8080,1763160608445
completed_9,archived,22459623,22459623,100.00,1763160608516,1763160614927,6411,true,0,0,"GET","/images/rotatd_17.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",36102,"10.0.2.5",8080,1763160608516
completed_10,archived,23415454,23415454,100.00,1763160608534,1763160614992,6458,true,0,0,"GET","/images/rotatd_47.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",36120,"10.0.2.5",8080,1763160608534
completed_11,archived,22386230,22386230,100.00,1763160608562,1763160614993,6431,true,0,0,"GET","/images/rotatd_16.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",36100,"10.0.2.5",8080,1763160608562
completed_12,archived,23387149,23387149,100.00,1763160608527,1763160615048,6521,true,0,0,"GET","/images/rotatd_39.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",36096,"10.0.2.5",8080,1763160608527
completed_13,archived,23414293,23414293,100.00,1763160614917,1763160628225,13308,true,0,0,"GET","/images/rotatd_42.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",39900,"10.0.2.5",8080,1763160614917
completed_14,archived,23203541,23203541,100.00,1763160615011,1763160628345,13334,true,0,0,"GET","/images/rotatd_31.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",39918,"10.0.2.5",8080,1763160615011
completed_15,archived,23227323,23227323,100.00,1763160615008,1763160628443,13435,true,0,0,"GET","/images/rotatd_56.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",39910,"10.0.2.5",8080,1763160615008
completed_16,archived,22992737,22992737,100.00,1763160614939,1763160628531,13592,true,0,0,"GET","/images/rotatd_26.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",39902,"10.0.2.5",8080,1763160614939
completed_17,archived,23338861,23338861,100.00,1763160614960,1763160628618,13658,true,0,0,"GET","/images/rotatd_52.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",39904,"10.0.2.5",8080,1763160614960
completed_18,archived,22842044,22842044,100.00,1763160615117,1763160632079,16962,true,0,0,"GET","/images/rotatd_23.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",39934,"10.0.2.5",8080,1763160615117
completed_19,archived,23387722,23387722,100.00,1763160631899,1763160633513,1614,true,0,0,"GET","/images/rotatd_49.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36","10.0.0.140",39900,"10.0.2.5",8080,1763160631899
