flow_key,status,total_bytes,received_bytes,completion_percent,first_timestamp_ms,last_timestamp_ms,duration_ms,server_isn_set,buffered_packets,tcp_seqs_count,request_method,request_uri,request_host,request_user_agent,client_addr,client_port,server_addr,server_port,request_timestamp_ms
completed_0,archived,21970814,21970814,100.00,1763162396829,1763162398603,1774,true,0,0,"GET","/images/rotatd_11.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48458,"10.0.2.5",8080,1763162396829
completed_1,archived,21053875,21053875,100.00,1763162396723,1763162398629,1906,true,0,0,"GET","/images/","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48442,"10.0.2.5",8080,1763162396723
completed_2,archived,21890236,21890236,100.00,1763162396823,1763162398639,1816,true,0,0,"GET","/images/rotatd_10.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48448,"10.0.2.5",8080,1763162396823
completed_3,archived,22151654,22151654,100.00,1763162396843,1763162398680,1837,true,0,0,"GET","/images/rotatd_13.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48472,"10.0.2.5",8080,1763162396843
completed_4,archived,22237768,22237768,100.00,1763162396850,1763162398703,1853,true,0,0,"GET","/images/rotatd_14.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48480,"10.0.2.5",8080,1763162396850
completed_5,archived,22079594,22079594,100.00,1763162396837,1763162398747,1910,true,0,0,"GET","/images/rotatd_12.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48460,"10.0.2.5",8080,1763162396837
completed_6,archived,22313890,22313890,100.00,1763162398777,1763162400242,1465,true,0,0,"GET","/images/rotatd_15.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48442,"10.0.2.5",8080,1763162398777
completed_7,archived,22459623,22459623,100.00,1763162398916,1763162400315,1399,true,0,0,"GET","/images/rotatd_17.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48460,"10.0.2.5",8080,1763162398916
completed_8,archived,22528372,22528372,100.00,1763162398917,1763162400326,1409,true,0,0,"GET","/images/rotatd_18.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48458,"10.0.2.5",8080,1763162398917
completed_9,archived,21157130,21157130,100.00,1763162398930,1763162400341,1411,true,0,0,"GET","/images/rotatd_2.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48472,"10.0.2.5",8080,1763162398930
completed_10,archived,22386230,22386230,100.00,1763162398790,1763162400374,1584,true,0,0,"GET","/images/rotatd_16.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48448,"10.0.2.5",8080,1763162398790
completed_11,archived,22597486,22597486,100.00,1763162398928,1763162400474,1546,true,0,0,"GET","/images/rotatd_19.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48480,"10.0.2.5",8080,1763162398928
completed_12,archived,22725558,22725558,100.00,1763162400562,1763162401957,1395,true,0,0,"GET","/images/rotatd_21.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48442,"10.0.2.5",8080,1763162400562
completed_13,archived,22663075,22663075,100.00,1763162400507,1763162401999,1492,true,0,0,"GET","/images/rotatd_20.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48472,"10.0.2.5",8080,1763162400507
completed_14,archived,22787114,22787114,100.00,1763162400631,1763162402115,1484,true,0,0,"GET","/images/rotatd_22.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48458,"10.0.2.5",8080,1763162400631
completed_15,archived,22842044,22842044,100.00,1763162400727,1763162402227,1500,true,0,0,"GET","/images/rotatd_23.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48460,"10.0.2.5",8080,1763162400727
completed_16,archived,22897586,22897586,100.00,1763162400801,1763162402308,1507,true,0,0,"GET","/images/rotatd_24.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48480,"10.0.2.5",8080,1763162400801
completed_17,archived,22944258,22944258,100.00,1763162400825,1763162402364,1539,true,0,0,"GET","/images/rotatd_25.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48448,"10.0.2.5",8080,1763162400825
completed_18,archived,22992737,22992737,100.00,1763162401964,1763162403419,1455,true,0,0,"GET","/images/rotatd_26.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48442,"10.0.2.5",8080,1763162401964
completed_19,archived,23087263,23087263,100.00,1763162402122,1763162403546,1424,true,0,0,"GET","/images/rotatd_28.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48458,"10.0.2.5",8080,1763162402122
completed_20,archived,23044837,23044837,100.00,1763162402005,1763162403550,1545,true,0,0,"GET","/images/rotatd_27.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48472,"10.0.2.5",8080,1763162402005
completed_21,archived,23126910,23126910,100.00,1763162402238,1763162403746,1508,true,0,0,"GET","/images/rotatd_29.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48460,"10.0.2.5",8080,1763162402238
completed_22,archived,21256872,21256872,100.00,1763162402374,1763162403866,1492,true,0,0,"GET","/images/rotatd_3.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48448,"10.0.2.5",8080,1763162402374
completed_23,archived,23167133,23167133,100.00,1763162402381,1763162403939,1558,true,0,0,"GET","/images/rotatd_30.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48480,"10.0.2.5",8080,1763162402381
completed_24,archived,23203541,23203541,100.00,1763162403656,1763162405165,1509,true,0,0,"GET","/images/rotatd_31.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48442,"10.0.2.5",8080,1763162403656
completed_25,archived,23232860,23232860,100.00,1763162403749,1763162405250,1501,true,0,0,"GET","/images/rotatd_32.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48472,"10.0.2.5",8080,1763162403749
completed_26,archived,23285248,23285248,100.00,1763162403982,1763162405274,1292,true,0,0,"GET","/images/rotatd_34.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48448,"10.0.2.5",8080,1763162403982
completed_27,archived,23309396,23309396,100.00,1763162404083,1763162405335,1252,true,0,0,"GET","/images/rotatd_35.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48460,"10.0.2.5",8080,1763162404083
completed_28,archived,23263054,23263054,100.00,1763162403896,1763162405344,1448,true,0,0,"GET","/images/rotatd_33.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48458,"10.0.2.5",8080,1763162403896
completed_29,archived,23331058,23331058,100.00,1763162404168,1763162405556,1388,true,0,0,"GET","/images/rotatd_36.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48480,"10.0.2.5",8080,1763162404168
completed_30,archived,23370464,23370464,100.00,1763162405357,1763162435413,30056,true,0,0,"GET","/images/rotatd_38.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48442,"10.0.2.5",8080,1763162405357
completed_31,archived,23387149,23387149,100.00,1763162405425,1763162435453,30028,true,0,0,"GET","/images/rotatd_39.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48448,"10.0.2.5",8080,1763162405425
completed_32,archived,23352231,23352231,100.00,1763162405289,1763162435479,30190,true,0,0,"GET","/images/rotatd_37.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48472,"10.0.2.5",8080,1763162405289
completed_33,archived,23398690,23398690,100.00,1763162405761,1763162435625,29864,true,0,0,"GET","/images/rotatd_40.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48460,"10.0.2.5",8080,1763162405761
completed_34,archived,23407944,23407944,100.00,1763162423807,1763162435926,12119,true,0,0,"GET","/images/rotatd_41.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48480,"10.0.2.5",8080,1763162423807
completed_35,archived,21364781,21364781,100.00,1763162405601,1763162435945,30344,true,0,0,"GET","/images/rotatd_4.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48458,"10.0.2.5",8080,1763162405601
completed_36,archived,23414293,23414293,100.00,1763162435639,1763162437272,1633,true,0,0,"GET","/images/rotatd_42.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48442,"10.0.2.5",8080,1763162435639
completed_37,archived,23418904,23418904,100.00,1763162435658,1763162437327,1669,true,0,0,"GET","/images/rotatd_43.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48472,"10.0.2.5",8080,1763162435658
completed_38,archived,23422798,23422798,100.00,1763162435677,1763162437366,1689,true,0,0,"GET","/images/rotatd_44.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48448,"10.0.2.5",8080,1763162435677
completed_39,archived,23444253,23444253,100.00,1763162436015,1763162437589,1574,true,0,0,"GET","/images/rotatd_45.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48460,"10.0.2.5",8080,1763162436015
completed_40,archived,23414107,23414107,100.00,1763162436075,1763162437765,1690,true,0,0,"GET","/images/rotatd_46.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48458,"10.0.2.5",8080,1763162436075
completed_41,archived,23415454,23415454,100.00,1763162436163,1763162437900,1737,true,0,0,"GET","/images/rotatd_47.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48480,"10.0.2.5",8080,1763162436163
completed_42,archived,21463952,21463952,100.00,1763162437793,1763162439240,1447,true,0,0,"GET","/images/rotatd_5.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48448,"10.0.2.5",8080,1763162437793
completed_43,archived,23398955,23398955,100.00,1763162437588,1763162439240,1652,true,0,0,"GET","/images/rotatd_48.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48442,"10.0.2.5",8080,1763162437588
completed_44,archived,23387722,23387722,100.00,1763162437625,1763162439428,1803,true,0,0,"GET","/images/rotatd_49.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48472,"10.0.2.5",8080,1763162437625
completed_45,archived,23376605,23376605,100.00,1763162438022,1763162439655,1633,true,0,0,"GET","/images/rotatd_50.jpg","10.0.2.5:8080","Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:145.0) Gecko/20100101 Firefox/145.0","10.0.0.140",48460,"10.0.2.5",8080,1763162438022
